,title,date,body
125,Letter to the Editor,14 February 1963,"To the Editor: In the two and a half years I have been at Columbia, I have been struck time and again by the unorthodox way in which Spectator fulfills its role as the gadfly. The conventional image of the gadfly is of one who fearlessly and objectively analyses situations which have gone unanalyzed, and, in so doing, comes to conclusions that irritate others, and perhaps cause them to think, where before they had been asleep. The Spectator has generally aroused irritation and spurred thought not by exercising the classic virtues, but by showing ignorance and sloppy thinking. An example of the Spectator's frequent incompetence is the editorial on the first report of the Academic Affairs Committee. That editorial criticizes the suggestion to combine Humanities A and English A, and notes only three possible mechanisms for this combination. If Humanities A swallows English A, or vice versa, the article notes, we will be placed in the sorry position of having English teachers teaching Humanities, or vice versa. The committee did not suggest this, and the editor has made a neat refutation, or at least a valid criticism only of a position which he himself lias created. A good point if he were writing a dialogue, but out of place in a criticism of what the committee did suggest. In stating that having humanities themes marked by both English A and Humanities A teachers would involve ""no small logistics problem,"" he doesn't mention the possibility of having coinciding sections, i.e. of having all students in a given English section in a single humanities section. In short, his criticism is long on talk, short on thought. The beautiful argument next advanced, which is against the inclusion of an Oriental work or two in the Humanities A sequence is that the editor cannot think of anything that we should discard to make room for the new works. Isn't it obvious that there is already a competition among great works for inclusion in the sequence, and that perhaps one essential cultural element is not getting the time concomitant [sic] with its importance? ""Western culture is large enough for Humanities A"" the article exclaims, as if this were the issue. The question the committee raised was not one of the scope of Western Culture, but of whether or not Humanities A is at present meeting the cultural requirements it was designed to meet. It is the breadth of the cultural background that we are going to make compulsory that is at issue, not whether or not Western Literature supplies us with enough material for two terms of reading. As an alternative to the special Humanities A section proposed by the committee, which would cater to those who had a semi-working knowledge of the classics before they came to Columbia, the editor points to Oriental Humanities and to Humanities 3-4. If he will consult his catalogue, or look at a reading list or two, he will see that Humanities 3-4 covers the chronological period of ca. 1775-present, an area substantially omitted in Humanities A. As for the further criticism of inclusion of Oriental works in Hum. A because we already have a course in Oriental Civilization, I need only point to the facts that Plato, Aristotle, and Spinoza surely are studied in Philosophy courses, Shakespeare in English courses, Montaigne and Voltaire in Frence courses, Dostoevsky in Russian department courses, to show that inclusion in other courses is no grounds for rejecting a book as a part of an introductory course. The committee's recommendation that the weekly Ferris Booth Hall lectures be made compulsory was criticized via the contention that making the teachers take attendance,and giving him a larger audience tend to make him lose some of the enthusiasm he would have had in an informal setting; and that filling out an attendance sheet will ruin ""what has been a valuable experience for interested students."" This .is nonsense. The interested student will not lose his interest because he must sign in. The teacher who loses his interest in an upcoming lecture because he, being recognized by the university at large as the foremost man on campus in a given subject, must lecture to the whole humanities A student body, would be hard to find, and would not, I believe, be found among present lecturers in the FBH series. The honor and opportunity of such a lecture would go a long way towards compensating for the loss of zest caused by the necessity to take attendance. In short, the interested student would get as much as he did before, and the less enthusiastic would get as much as he possibly could. As a member of the committee who is concerned with its development and long term success, I will not deny that it has many faults. Its discussion of the art and music course were not nearly as thorough as they should have been. The discussion was Knitted because we had little time, and many ideas. This, of course, does not absolve us from the criticismthat we should have taken all the time we needed before handing in a report. I do wish that the Spectator criticism be the conclusion of thought, not just conclusions quickly set in print, and I urge the Spectator and the college as a whole to remember that the committee is, for the college, a student-faculty relational innovation. It has none but the negative precedent of Student Board to serve as a guide. Its stature in the college community, the influence it will have both with the students and with the faculty is not set down in writing, but is being slowly developed as the members of the faculty and of the committee appraise themselves, the students, and the current situation. It must make mistakes and be less than one hundred per cent efficient at first; this the faculty certainly recognizes, and the Spectator prediction of a swift demise of faculty-student consultation is totally unfounded. Arlan Cohen '64 Member, Academic Affairs Committee Feb.. 13, 1963(Editor's Note: If Mr, Cohen and his colleagues on the Academic Affairs Committee were not""asleep"" when they discussed and wrote their report on Humanities they might not have been led to conclude that Spectator, in crticizing the committee's product, was acting as gadfly. When dealing with a report as careless and muddled as the Humanities report, Spectator acted more as a textual analyst than anything else. Similarly, if the committee had made its suggestions explicit and in English, Spectator would not have been driven to speculate on the possible meanings of the report. Perhaps we did not discover all that might have been interred in the minds of committee members when they made their suggestions. But mind-reading has never been our forte. We do not ivish to see the demise of student-faculty consultation. We merely said — and by this we stand — that if the committee cannot do better, its voice should fall on deaf ears. As to this demise being ""swift,"" we believe that the speed of the demise may well correspond to the speed with which the committee prepares its reports. Since rapidity is not an academic virtue, we suggest again that the committee take its time with future reports. We would father it be sluggish than sloppy.)"
126,Academic Affairs Unit Plans Additional Humanities Work,18 February 1963,"By Joseph T. Lambert""The report on Humanities A was submitted with some degree of finality only because Dean Alexander wanted it by a certain date,"" according to Jan Breslow '63, chairman of the Academic Affairs Committee. He was replying to last Wednesday's Spectator editorial, which criticized the report as sloppy and incomplete. At a meeting of the committee on Friday, Breslow said that he regarded the report as ""minutes of the last meeting. I think we should go on from there."" One member, Kenneth Prager '64, noted that the committee, ""should be very clear on how their discussion will be incorporated into future reports. At the last meeting, we didn't really know what was going to happen to what we said.""Future discussion on Humanities A and other aspects of the curriculum will be referred to subcommittees on particular problems and then reviewed by the committee of the whole. The report submitted to Dean Alexander prompted differing opinions from the committee. It was brought out 'that the Humanities and English faculty generally disagreed with the idea of combining the English A and Humanities A courses or of making the Humanities course a freshman requirement. The Academic Affairs Committee will be working in conjunction with the student committee on Contemporary Civilization to present a unified report to the Dean's Office."
127,'Direct Confrontation' Favored Proposed Secondary Sources For Humanities A Criticized,19 February 1963,"Proposed Secondary Sources For Humanities A CriticizedBy Jonathan KatzThree professors who leach Humanities A have criticized Professor of English Lionel Trilling's opinion that critical and interpretive essays are useful supplementary readings for Humanities A students. Professor Trilling states in his introduction to ""The Proper Study,"" a collection of critical essays on Humanities A authors, that great books do not exist in isolation, but stand in a milieu of the responses that have been given them over the ages. He believes it is helpful for the students to read scholarly criticisms of original works as well as the works themselves. Professor of French Donald M. Frame, however, is opposed to use of secondary sources. ""Students."" he said, ""should be pushed into the experience of a direct confrontation with the text."" ""I like my students to do their own thinking and arrive at their own conclusions about the books they read,"" said Associate Professor of Spanish- Leonardo C. DeMorelos. He also thought that more interpretive material would not only require elimination of some of the important original texts, but would also ""be foreign to the traditional purpose of the course."" Assistant Professor of Russian Robert L. Belknap said most college students ""tend to want to be told what Plato meant in his Dialogues. I would not be anxious to back a book that would propose to tell him that. If a student wants to know what Plato said, let him read Plato."""
128,Humanities Lecture,21 February 1963,This semester's series of Humanities A lectures will start today with Assistant Professor of English Robert G. Davis speaking on St. Augustine. The talk will be in Wollman Auditorium at 4 p.m.
129,Page 4 Advertisements Column 1,21 February 1963,"SAINT LUKE'S Lutheran Church 308 WEST 46th STREET Albert L. Neibacher, Pastor SUNDAY, Feb. 24th, II A.M. ""CONDITIONED FOR PRAYER"" ASH WEDNESDAY, Feb. 27th, 7 P.M. ""CHRIST'S LENTEN CALL"" Lutheran Students! Meet fellow Lutherans from all over the country at our Weekly Fellowship Supper for young adults each Sunday at 6 P.M. Well planned programs, with speakers on religious, cultural and educational subjects. Columbia University ST. PAUL'S CHAPEL 117 th and Amsterdam ! Sunday, February 24 11 A.M. Morning Prayer and Sermon I by the Chaplain of the University ""Love, Tolerance, and Conviction"" | 9 a.m. and 12:30 p.m. Holy Communion! Music by the Chapel Choir jThe Public is Welcome at All Services I> French Church of Saint Esprit; i| (Protestant Episcopal) i| \ Old Huguenot Church, Founded 1638 ! < 109 East 60th Street. New York J, '< DR. RENE VAILLANT, Rector ] (' Sunday, Feb, 24th, 11 A.M. I 'I Morning Prayer and Sermon ' j> Ash Wednesday, Feb. 27th ] <| 9 A.M., Holy Com'n. 6 P.M., Litany i ', (All Services and Sermons in French) ' ruoicT ruiioru methodist LnRIOI UnUIVUn Park Av. at 60 DR. HAROLD A. BOSLEY, Minister will speak at both services Sunday 11 A.M., ""WHERE IS THY GOD?"" 5 P.M., BIBLE STUDY VESPERS: THE BOOK OF EXODUS 9:30 A.M.. Holy Communion 6:15. Young Adult Fellowship Supper 7:30, Dr. Biodun Adebesin, Representative to the UN from Nigeria ""The Church in the New Africa"" ST. BARTHOLOMEW'S (Episcopal) Park Avenue at 51st Street Rev. Terence J. Finlay D.D., Rector Sun. 8 & 9:30 A.M., Holy Communion 11 AM, Morning Prayer; Sermon: Rector 11, Morning Prayer; Sermon: Rector ""Challenge to the Church of Today"" 4 PM 'ELIJAH', Part 111, Mendelssohn ASH WED. 8 & 10:30 AM, Holy Com'n 12:15. Rt. Rev. Austin Pardue 5:15 Holy Com. Add. Rev. W.H. Wagner 8:15 P.M.. Verdi ""Requiem"" CChoir) Thurs. and Fri. 12:15, Bishop PardueTHE CATHEDRAL CHURCH 1 ST. JOHN THE DIVINE AMSTERDAM AVENUE and 112 th STREET SUNDAY: Holy Communion 7, 8, 9, 10, II 11, Morning Prayer, Holy Communion and Sermon: II The Rev. Canon Harold R. Landon, B.D. 3:30, Organ. 4, Evensong and Sermon: The Rev. Maxwell Thomas, M.A., B.D. ASH WEDNESDAY (Feb. 27th) :|j 7:15, Morning Prayer, Penitential Office and Holy Comm'n 10, Holy Communion and Address: The Rev. Canon Edward N. West, D.D. 5:15, Evening Prayer and Meditation WEEKDAYS: 7:15 A.M. and 5:15 P.M. TOURS: 11, 12, 2, 3 W ■ .... „ .r^wyai"
130,Board of Managers Announces New Faculty Lecture Series,27 February 1963,"By Harry M. KreskyThe Board of Managers has initiated a new lecture series, ""A Focus on the Contemporary."" The program, consisting of lectures by Columbia professors on subjects of particular interest to them, is designed to give the student an opportunity to become better acquainted with the personal ideals of his professors. Paul Katerman, '64 who heads the project, pointed out that this personal insight is not possible in class because of the strict outlines of course material. Also, many students might not have a chance to take a particular course. Katerman commented that ""the idea of having faculty members speak on subjects of particular interest to them, in an unrestricted lecture series, is a concept totally new to Columbia."" He contrasted the series to ""Lectures in the Light of Humanities,"" also sponsored by the Board of Managers, in which a professor speaks on a topic related to the Humanities A course. Dustin Rice, associate professor of art history, is scheduled as the first speaker in the new series. He will discuss ""Contemporary Art in New York"" on March 6. Other speakers in the series are Charles O. Beckman, professor of chemistry; Adolph A, Berle, profes-sor of law; Raymond J. Sauliner, professor of economics; Warner R. Schilling, associate professor of government; and James P. Shenton, associate professor of history."
131,Page 2 Advertisements Column 1,28 February 1963,"BURG'S PHARMACY 113 th St. and Broadway PRESCRIPTION SPECIALISTS • COSMETIC CONSULTANTS Exclusixe Agency for TENO-SIX LOTION j VIC & KATIES' QJairmont Viennese LKestaurant 11 6 th STREET corner AMSTERDAM AVENUE * ""Every Friday — DOUBLE PORTION of Your Main Dish FREE!"" Student JET FLIGHT to EUROPE Round Trip $275 WO 2-0799 UNTIL FEBRUARY 28th ■T«T»»y* »♦♦♦♦♦♦♦♦♦♦♦ ..Tr* ♦♦""♦♦»♦♦♦♦♦♦♦♦»♦♦♦♦»♦ »*^ Assistant Professor ANGUS FLETCHER 3 will speak today on < DAN T E 4:00 P.M. Wollman < lectures in the light of Humanities A 2 < presented by the Board of Managers of FBH < THE BOARD OF MANAGERS OF FERRIS BOOTH HALL presents COLLEGIUM MUSICUM MOTETS, POLYPHONIC LIEDER, AND CHANSONS of the RENAISSANCE, and a QUINTET In WOLLMAN AUDITORIUM FRIDAY, MARCH 8 at 8:30 P.M. Admission 50* \ J THERE IS STILL TIME for interesting and rewarding participation in the Citizenship Program. ♦ -♦-♦ Information in 309 Ferris Booth Hall"
132,Truman Urges Study Of Basic Courses,7 March 1963,"Dean David 8., Truman has called for a re-evaluation of general education at Columbia. He said in .a recent interview that Although he had no radicaireforms in 'mind, he felt that a comprehensive study of the system was needed periodically. No specific plans have been made for the study, but Dean Truman suggested that it might be of the same scope as the Maemalhon Committee's 1957 report on ""The Educational Future of Columbia University."" Although changes have been made in the past few years fei the College's 'requirements, the Dean emphasized that ""we need a -much -more intensive study of general! education at the college level."" He compared his proposed study to the one now being conducted by a faculty cornmtiittee at Harvard. He noted that the Harvard committee had recently visited Columbia to investigate genera! education here. Without speculating on the findings and irecommendations of the study, Dean Truman said that he could not envision a general education system at Columbia without Humanities A and Contemporary Civilization A. In recent years, faculty committees have been formed to study the CC B and the Humanities requirements. The CC B committee, headed by Dean Truman, recommended in 1961 that the Old CC B course be replaced as a requirement for a three-year experimental! l period (by a group of introductory departmental courses. A committee headed by Professor of Economics Louiis Hacker has just reported on the experiment to the College's Committee on Irtstructiion. Earlier this year, -another committee was named to review 'the Humanities curriculum. Dean Truman reported that it is ""moving systematically through a series of agreed-upon topics."" A final report will probably be ready before the end of the term. The committee has most recent-ly discussed the second-year Huim'anittes courses. The Dean noted that ""they have taken up the problems associated with museum visits and concent attendance."" The only recent proposal for a Change in the language requirement was rejected last November by the Committee on Instruction. The Language Committee had reCommended that the requirement Ibe increased from two to three years. It argued that the present program does not provide the student with a ""proper command"" of a foreign language. The last major change in the science requirement took place in 1961. The faculty voted to eliminate the 'three categories from which students had to fill their requirement 'and allow them to take ■theiir two years in any field of their choice. In 1958 Health Education was dropped as a required course and the ■physical education requirement was reduced from three to two years. —D.G."
133,Page 2 Advertisements Column 1,14 March 1963,"WANTED People with stuffy noses, hay fever, allergies or cclds to participate in a nasal product evaluation test to be conducted by: Kelly Girl Service Inc. s 2 per hour KEW&RG (if usable for testing) For further information contact: My Girl Service Ins. MU 7-4460 Suite 616 — 200 E. 42 St. New York 17, N. Y.Sixth Successful Year BOAC Jets EUROPE Now There are Seven Flights Available-JUNE, JULY, AUGUST ROUND TRIP as Low as <*js&*smM full details available at PAPERBACK FORUM 116 th ST. & BROADWAY Or Contact: MR. CLIFF HILL Mr. RICHARD APPLEBAUM MO 6-6828 TA 4-4839 6:45 P.M- 9:15 P.M. 6:45 P.M. - 9:15 P.M. imiimiiiiiiiuini m. iii,„iiii,,in,i„.i„„m. minii. ...1Y1..1 „„ii„,i>,„i,„i,i,.iu mmiirimiMMHiriiimiiMii'iiiVu .TVTTTTTi"". iilimut! |jj ii ii in iiiiiiiiii mini i iiiiiiimiiimiliiiiinii iliilinii i i iuiiiiiiiiiiiiiiiiinmi|| 11 Instructor.of English 11 ALLEN BERGSON [| Will Speak Today on SHAKESPEARE 4:00 P.M. Wollman If Lectures in the Light of Humanities A 2 Presented by the Board of Managers of FBH = ~iiitiiiiii:iiii:uit':iii!iiu;ilM.iiii;i|[i:iiii.iiiiiiiii;iiii:iitiiuii:itit;Hii:iiiriili;iiii:iiiiiiiit::Ni:iiii:iii[;iiiiiUlliliiliiiitiiiiiiiiii: iiiiiiiiiilllllllillliimiiiHiiNmiiiiiiini It Mitlimi.7 = 11' in i niin'i.DU'.n'mi iiiiniii»ii'HH)'iiiiui:»iiinii:nii'inrimnii:imm».iiH:n»niiiiniiniuimiiim iiuitiM;i»iLiiii;n:irtiiiiiiimnimuntiHlHHiUiiimniiiiiiniiiiniiinniimiliiliillti"" BARNARD WIGS & CUES' GOLDEN ANNIVERSARY PRODUCTION William Shakespeare's RICHARD 111 MARCH 20 -23 at 8:30 P.M. Tickets: Wed. & Thurs., $1.50, $1.25 students—Fri. & Sat., $2.00 MINOR LATHAM PLAYHOUSE 119 th STREET and BROADWAY Information: Call UN 5-4000 — Ext. 2300 Tickets on sale at Jake, March 14-22—12-2 P.M. For the Lowest- cost, Non-stop Jets to CONINENTAL Europe Travel by TRANS-ATLANTIC CHARTERS' Scsbena Belgian World Airlines 707 Intercontinental Jet Airliners FLSGHT NO. I — Friday, June 7 to BRUSSELS $«g A Tuesday. July 23 from BRUSSELS *** \%f W% Contact: MISS I. WINTERS ■ * *& AC 2-8542, 9-11 p.m., Sun. 7-10 p.m. r FLIGHT NO 2— Friday, June 14 to BRUSSELS *% Friday, Sept. 20 from BRUSSELS *** M % % Contact: MR. VICTOR CUSHMAN -*■■ ** ** 423 W. 120 th St., NYC 27 Round TrJp MO 2-6584 P We also have ail jet non-stop flights to Paris leaving July 15, returning August 12, and leaving August 12, returning September 18. FOR INFORMATION, CONTACT: Mr. Robert Power UN 5-6619 7-9 P.M., EXCEPT WEDNESDAY Our 7th Successive Year On Campus"
134,Bergson to Speak,14 March 1963,"Allen Bergson, instructor in English, will speak on Shakespeare today at 4T>rn- in Wollman Audi* toi'ium. The talk is 'the fourth in the series ""The Western Imagin* a>tion: Lectures in the Light of Humanities A 2,"" presented by the Board of Managers."
135,Hadas Counters Shenton Speech,18 March 1963,"By Stanford N. SesserJay Professor of Greek Moses Hadas said Friday that he ""would look with great apprehension"" on eliminating general education courses from the College curriculum. His comment was in response to remarks made Wednesday by Associate Professor of History James P. Shenton. According to Professor Shenton, general education is primarily designed to ""meet inadequacies of the high school program,"" and.must be deemphasized as high schools expand their advanced placement programs. Professor Hadas, who teaches a section of Humanities A, said that the course, if necessary, ""could be made more rigorous and advanced."" He states that if readings in the course are introduced into high schools, they would be replaced at Columbia by ""new and harder books."" According to Professor Hadas, general education in college is necessary because ""what people learn as children won't answer."" He doubts that more than ""rote learning"" can be accomplished in highschool courses. 'In commenting on a proposed course system for Columbia, Dr. Hadas said he wouldn't want to see a change unless the merits of the course system are definitely established. He believes the point systemhas worked ""very well."" In his lecture Wednesday, Professor Shenton noted a trend in high schools toward introducing courses similar to Contemporary Civilization. He said that ""once high schools begin this program, general education might become unnecessary. . . . You don't want to come to college for a repeat performance.""Professor Shenton believes that the American high schools are"" rapidly approaching their European counterparts in the quality of course offerings. Dr. Shenton proposes that the fourth year of college be devoted to independent supervised research, ""the equivalent of a master's year."" He says that a year of independent study ""teaches you not how to master many things, but to master one thing and master it well."" In answer to a question on the point system, Professor Shenton said that students now ""take four courses and two guts. This means i they're wasting their time."" He stated that he has ""never had a more rewarding experience"" than theteaching of an eight-point seminar this year. Assistant Professor of Russian Robert L. Belknap expressed agreement with Dr. Shenton on the ■blishment of a year of independent research. He also favors [he use of the eight-point seminar, and said that the Russian Department is planning to begin one next year.Moses Hadas"
136,A Palpable Hit,16 April 1963,"In light of our recent comments about educational experimenting, it is gratifying that one of the College's own experiments has proved ""an incredible success."" This description is by Professor Howard Schless, the English Department's representative. The experiment is the ""Introduction to Literary Study"" course which has been offered to freshmen with superior ability in English as a one-term alternative to the usual freshmen English course. Our satisfaction comes not only from the practical success of the course, however. It embodies principles and methods which deserve praise. The course fits well into the Columbia curriculum. Its intensive study of a single text has been described as ""an antidote to Humanities."" While Humanities A is hardly poison, the depth of the English offering is a useful contrast to the breadth of Humanities. While the course has a narrow focus, its outlook is broad. Consideration of one work of Chaucer, Milton or Shakespeare illuminates the whole process of literary study. Its structure is also significant. The small class size is used to good advantage by making written work of the students a subject for class discussion. Thus the students' reaction to the text takes its proper place with the text itself. One of the two papers required involves research, and in that sense parallels the experience of the second term of freshman English. The literary study program will be offered again next year. We hope that it will be expanded too. At present, sophomores interested in an English major may be admitted by special permission. Provisions for other non-freshmen would extend the benefits of this valuable program."
137,Page 4 Advertisements Column 2,18 April 1963,"For sublet June 30-Aug. 31, 2V 2 rm. plus garden. $116.60 plus phone & utilities. Near Central Park. 66 West 85th St. SC 4-2383. '63: NSISW. Commencement Ball. Lost: One green corduroy zipper jacket in C.U. area. Please contact Dave Levin, ext. 2793. NOTICE There will be a joint Barnard-Co-lumbia meeting of all undergraduate religion majors on Thursday, April 18, in Room 29 Milbank at 1:00 P.M.| VIC & KATIES' | | QJairmont Viennese LKestaurant \ g 116 th STREET corner AMSTERDAM AVENUE \ V ""Every Friday — DOUBLE PORTION of Your Main Dish FREEI"" .«I ■I■ 11 ■■■■I■■l■t■ ■ ■ )■ ■ ■ i ■ I ■ ■ 111 ■i M) ■ MIIMII ■■I■l■l■■i■■■ i m u I ■ I ■ M ■ ■ M1 ■■I■ i ■ 11 ■■■■ ■ 11 m■ ■ I I■r*•i ■ l * i l 111 n 111 ri 111 m r 111 r n 111111 mr 11 if 11111111 ■ 11111111 i■■ 11 11 ri tri n 111 r 111 u 11111 • = iiiiiiitiiiiiiiiiiiiiitiiiiiiiiiiiiiiiiiiiiiiiiiiiiiJiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiitiiiiiiiiitiiLttcti.tftittij ittiti■tii■lliillrulll iiijiiijuiiiji ; Instructor of English JOHN MORRIS Will Speak Today on MILTON || 4:00 P.M. Wollman || Lectures in the Light of Humanities A 2 — presented by the Board of Managers of FBH s Tltiiiitjiiitiltl*iilliiiiitiiitliUiiiiriilfliiiiiiriiiiiiiiiiiiiiiiiiiiiiiMiiii»iiiiiiiMiiijiiitiiniintritinniiiiiiiiiiimni11 Itun>iiiiij<htj)<iiiiiiniii(jiiiiiiiiiiiiiiiiiitJijiii|iit]ijitiliimiliiliiiiiiiuiiiii(ituii?^a1 tun>iiiiij<htj)<iiiiiiniii(jiiiiiiiiiiiiiiiiiitJijiii|iit]ijitiliimiliiliiiiiiiuiiiii(ituii?^a ■""'"" iiiMiiiLiiiiriiiiiiiiiiiin)iiiiiiiiuiituiiiiimiiiiiitiiii)umiiJiiiiiiimniiiiiiiiininniiu :ini:niiii nimi n i it inn i Hum u' n iiinniuni ihiiillll I iiiUmihi! TONIGHT, APRIL 18 THE KITCHEN and THE INTERVIEW 8:30 — McMILLIN THEATRE — 75c with I.D. | ATTENTION j o COLUMBIA FACULTY, STUDENTS AND STAFf GROUP FLIGHTS NOW ° o AVAILABLE FOR 1963 VIA REGULARLY SCHEDULED JET FLIGHTS ° |J I. LONDON at Fare of $310 Round Trip ° Leave N.Y. June 6 — Return Sept. 12 © 0 June 20 — Aug. 22 ® E2. PARIS atFare of $339 Round Trip ° Leave N.Y. June 6 — Return Sept. 16 ° % June 20 — Sept. 17 ° o July 15 — Sept. 18 o 03. BRUSSELS at Fare of $339 Round Trip i 0 Leave N.Y. June 5 — Return Aug. 22 0 14. AMSTERDAM at Fare of $339 Round Trip i ° Leave N.Y. June 5 — Return Sept. 18 ° 05. FRANKFURT at Fare of $362 Round Trip l o Leave N.Y. June 10 — Return Sept. 9 0 ° Applications should be sent to: o % MRS. FRANCES D. BEACH, 170 Reldyes Ave., Leonia, New Jersey | ° with covering deposit of $50. Final payment is due six (6) weeks prior to o ° flight. All group flights and fares are governed by existing lATA rules. ° o People registered on the above group flights can make land or tour 0 ' ° arrangements, including a car purchase or rental, through: o | COLUMBIA TRAVEL SERVICE |=> 1175 AMSTERDAM AVE. Tel. UN 5-2020 NEW YORK 27, N. Y. o"
138,Page 3 Advertisements Column 1,25 April 1963,"""OUR 52nd YEAR ON CAMPUS"" PAPADEM FLORISTS |j Broadway at I 15th St. • MO 2-2261 ] BARNARD-COLUMBIA GILBERT and SULLIVAN SOCIETY Presents H.M.S. PINAFORE and COX AND BOX April 24-27 (Wed. - Sat.) NI.L.P. (ext. 2300 after 7 p.m.) FERRIS BOOTH HALL BOX OFFICE WEDNESDAY, THURSDAY — $1.75 FRIDAY, SATURDAY — $2.00 EVENINGS — 8:30 P.M. SATURDAY MATINEE — $1.50 MATINEE — 2 P.M. Heavyweight Crew Special i I Bus to Princeton i i Saturday, April 27 i ° Leaves College Walk at 2:00 Leaves Princeton at 5:45 I o Sponsored by the Blue Key Society Z See M. BUSH 932H Tickets $2.00 I o ° j PROFESSOR OF PHILOSOPHY | CHARLES FRANKEL ! j Will Speak Today On I SPINOZA | Lectures in the light of Humanities A 2 presented by the Board of Managers of F.B.H. | 4:00 P.M. Wollman I |i COLUMBIA-BARNARD ECONOMICS SOCIETY J j! presents DR. RICARDO LOYBER ] !; Argentine Economist I j; Topic: ""Latin American Economic \ Development"" j |j TODAY 5:10 p.m. Fayerweather Lounge J"
139,Student Group Asks Advent Of Honor Code Report Suggests Steps Toward Future Plan,1 May 1963,"Report Suggests Steps Toward Future PlanA student committee has presented the Dean's Advisory Committee with a report outlining steps leading to the institution of an honor code in the College. The report, which was drawn up by Donald R. Mintz '64, also presents the results of a recent experiment with unproctored midterm examinations. The Dean's Advisory Committee is composed of heads of several student activities. As proposed by Mintz, the plan requires the formation of a oneyear experimental committee to start a program of ""academic integrity."" The proposed committee would have eight members —four class presidents, the presidents of two service societies, and two members of the Academic Affairs Committee. At present, Mintz hopes to get the plan off to a token start next fall by requiring entering freshmen to sign a statement that they had read the code. This would not require adherence to the code, but would indicate that the student was familiar with the code's provisions. A suggestion was made by the Dean's Advisory Committee that since signing a statement indicating familiarity with the code did not require adherence, all students in the College should be asked to sign the statement. This would familiarize the entire College with the plan, and serve as a straw vote, testing student opinion. Those who objected to the proposed code could refuse to sign the cards. A step toward instituting an honor code was taken during the last mid-term period. At that time, unproctored exams were given tosix Humanities A classes. Students participating in the experiment signed a pledge stating that they would hot give or receive information during the exam. A majority of the students said that the unproctored system made them feel less tense. They expressed a desire to have unproctored exams administered regularly under the honor system. Dean David B. Truman stated yesterday that an honor code ""would work on this campus only as the student body becomes more cohesive. At the same time, he emphasized that an honor code could serve as a common goal for a student body working toward ""corporate identity""—a deep commitment to the college and its standards. Dean Truman cited two areas of potential failure for any honor code. One problem is the general reluctance of students to report infractions by their classmates. Another problem is created when attempts are made to extend the code out of the classroom."
140,Page 4 Advertisements Column 1,2 May 1963,"TONIGHT, MAY 2nd Alain Resnais' NIGHT AND FOG A brilliant film on the concentration camp universe. — and — ORSON WELLES 1 CITIZEN KANE Voted ""the greatest film ever made."" — 1962 Poll, Sight and Sound McMILLIN THEATRE—B:3O—7Sc with C.U.I.D. Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail -— Moonlight Sail Moonlight Sail — Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail Moonlight Sail TED KREMER SOCIETY $5.00 Couple at Mailroom MAY 10th CARNIVAL WEEKEND ~ : """" "" ~ """"""' "" """"'""'"" — Robert Judy ARGAND SAFFER Cassia Burnell BESSON SITTERLY in ELSINORE! also starring Esther KLEIN Susan DICKES Jody BRIGGS Marilyn GALLO All their friends must come and see them."
